GemsFDTD_109B, 0.313955
GemsFDTD_712B, 0.264575
GemsFDTD_716B, 0.664667
astar_163B, 0.657786
astar_23B, 0.416812
astar_313B, 0.177906
bwaves_1609B, 0.292293
bwaves_1861B, 0.333476
bwaves_98B, 1.63199
bzip2_183B, 1.24337
bzip2_259B, 1.40731
bzip2_281B, 1.35863
cactusADM_1039B, 1.20495
cactusADM_1495B, 1.24041
cactusADM_734B, 1.17565
calculix_2655B, 2.66959
calculix_2670B, 2.81774
calculix_3812B, 2.58906
gamess_196B, 1.57002
gamess_247B, 1.58687
gamess_316B, 1.65947
gcc_13B, 0.37225
gcc_39B, 1.23345
gcc_56B, 1.45775
gobmk_135B, 0.882236
gobmk_60B, 0.910538
gobmk_76B, 0.873732
gromacs_0B, 1.83077
gromacs_1B, 1.79082
h264ref_178B, 1.59826
h264ref_273B, 1.4475
h264ref_351B, 1.46706
hmmer_397B, 2.12738
hmmer_546B, 2.30363
hmmer_7B, 2.17371
lbm_1004B, 0.307635
lbm_564B, 0.298057
lbm_94B, 0.328647
leslie3d_1116B, 0.563662
leslie3d_1186B, 0.615424
leslie3d_94B, 0.428583
libquantum_1210B, 0.329262
libquantum_1735B, 0.304727
libquantum_964B, 0.59774
mcf_158B, 0.0816216
mcf_250B, 0.0713268
mcf_46B, 0.0912726
milc_360B, 0.563086
milc_409B, 0.581538
milc_744B, 0.648228
namd_1907B, 2.41199
namd_400B, 2.04686
namd_851B, 2.43338
omnetpp_17B, 1.21882
omnetpp_340B, 0.388321
omnetpp_4B, 1.30962
perlbench_105B, 1.54164
perlbench_135B, 0.80787
perlbench_53B, 0.800372
povray_250B, 1.1165
povray_437B, 1.14565
povray_711B, 1.11752
sjeng_1109B, 0.828766
sjeng_1966B, 0.868041
sjeng_358B, 0.863895
soplex_205B, 0.292095
soplex_217B, 0.311489
soplex_66B, 0.359785
sphinx3_1339B, 1.19345
sphinx3_2520B, 1.4465
sphinx3_883B, 0.915038
tonto_2049B, 1.44492
tonto_2834B, 1.4798
tonto_422B, 1.46174
wrf_1212B, 1.54169
wrf_1228B, 0.966736
wrf_1650B, 0.691947
xalancbmk_748B, 1.20147
xalancbmk_768B, 1.78353
xalancbmk_99B, 0.27426
zeusmp_100B, 1.70575
zeusmp_300B, 1.7769
zeusmp_600B, 1.84265
