Traces,LRU,ship,,shippp_NUM_LEADER_SETS_16,shippp_NUM_LEADER_SETS_32,shippp_base,shippp_NUM_LEADER_SETS_128,shippp_NUM_LEADER_SETS_256,,,shippp_NUM_LEADER_SETS_16,shippp_NUM_LEADER_SETS_32,shippp_base,shippp_NUM_LEADER_SETS_128,shippp_NUM_LEADER_SETS_256
GemsFDTD_109B,0.283648,0.285414,,0.314118,0.314118,0.314091,0.314118,0.314118,,,1.064313518,1.064413518,1.065195255,1.06518,1.064647518
GemsFDTD_712B,0.245121,0.2447,,0.264723,0.264723,0.264737,0.264723,0.264723,,,,,,,
GemsFDTD_716B,0.666375,0.665459,,0.668318,0.668318,0.668622,0.668318,0.668318,,,,,,,
astar_163B,0.660201,0.66247,,0.650359,0.650359,0.650618,0.650359,0.650359,,,,,,,
astar_23B,0.419457,0.41898,,0.416605,0.416605,0.417445,0.416605,0.416605,,,,,,,
astar_313B,0.146795,0.147964,,0.177922,0.177922,0.176666,0.177922,0.177922,,,,,,,
bwaves_1609B,0.2839,0.2839,,0.292447,0.292447,0.292447,0.292447,0.292447,,,,,,,
bwaves_1861B,0.322095,0.322136,,0.331818,0.331818,0.331818,0.331818,0.331818,,,,,,,
bwaves_98B,1.63098,1.63101,,1.63212,1.63212,1.63212,1.63212,1.63212,,,,,,,
bzip2_183B,1.21424,1.22327,,1.23205,1.23205,1.23232,1.23205,1.23205,,,,,,,
bzip2_259B,1.37101,1.40418,,1.42277,1.42277,1.42012,1.42277,1.42277,,,,,,,
bzip2_281B,1.35262,1.35926,,1.38894,1.38894,1.38736,1.38894,1.38894,,,,,,,
cactusADM_1039B,0.919853,0.92173,,1.19946,1.19946,1.20156,1.19946,1.19946,,,,,,,
cactusADM_1495B,0.947467,0.947964,,1.21979,1.21979,1.21877,1.21979,1.21979,,,,,,,
cactusADM_734B,0.908035,0.908763,,1.16982,1.16982,1.18209,1.16982,1.16982,,,,,,,
calculix_2655B,2.63851,2.66754,,2.64941,2.64941,2.653,2.64941,2.64941,,,,,,,
