Traces,LRU,ship,shippp_base,shippp_SHCT_bits_10,shippp_SHCT_bits_12,shippp_SHCT_bits_16,shippp_SHCT_bits_18,
sjeng_1109B, 0.36747, 0.37084, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371,
sjeng_1966B, 0.39669, 0.39892, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146,
sjeng_358B, 0.36192, 0.36243, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939,
soplex_205B, 34.1025, 33.0063, 33.49, 32.9833, 32.9833, 32.9833, 32.9833,
soplex_217B, 34.108, 32.7634, 31.4217, 31.4518, 31.4518, 31.4518, 31.4518,
soplex_66B, 27.573, 25.4968, 25.2343, 25.4139, 25.4139, 25.4139, 25.4139,
sphinx3_1339B, 10.9775, 9.89978, 4.76919, 4.65921, 4.65921, 4.65921, 4.65921,
sphinx3_2520B, 8.23917, 7.79928, 3.36245, 3.60668, 3.60668, 3.60668, 3.60668,
sphinx3_883B, 12.7567, 12.0154, 7.14934, 7.46616, 7.46616, 7.46616, 7.46616,
tonto_2049B, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855,
tonto_2834B, 0.2061, 0.2061, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584,
tonto_422B, 2.76187, 2.29941, 2.27271, 2.33928, 2.33928, 2.33928, 2.33928,
wrf_1212B, 0.78051, 0.78017, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491,
wrf_1228B, 10.1802, 9.95491, 10.4243, 10.3625, 10.3625, 10.3625, 10.3625,
wrf_1650B, 7.84971, 7.85353, 9.00594, 8.97805, 8.97805, 8.97805, 8.97805,
xalancbmk_748B, 2.7187, 2.74432, 4.04726, 4.05074, 4.05074, 4.05074, 4.05074,
xalancbmk_768B, 0.27531, 0.27743, 0.30447, 0.30447, 0.30447, 0.30447, 0.30447,
xalancbmk_99B, 29.4543, 28.8014, 21.5853, 21.7825, 21.7825, 21.7825, 21.7825,
zeusmp_100B, 4.9905, 5.06636, 6.84821, 6.84821, 6.84821, 6.84821, 6.84821,
zeusmp_300B, 2.65241, 2.68278, 3.37844, 3.38244, 3.38244, 3.38244, 3.38244,
zeusmp_600B, 3.15904, 3.15866, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339,
