Traces,LRU,ship,shippp_base,shippp_maxRRPV_2,shippp_maxRRPV_4,shippp_maxRRPV_5,shippp_maxRRPV_6,shippp_maxRRPV_7,shippp_maxRRPV_8,shippp_maxRRPV_9,shippp_maxRRPV_10,shippp_maxRRPV_11,shippp_maxRRPV_12,shippp_maxRRPV_13,shippp_maxRRPV_14,shippp_maxRRPV_15,
GemsFDTD_109B, 29.5603, 29.4737, 35.9876, 35.7595, 36.6353, 37.1643, 37.3389, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569,
GemsFDTD_712B, 30.8693, 31.0156, 39.9325, 39.8982, 39.9757, 39.9843, 40.0171, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533,
GemsFDTD_716B, 14.2988, 14.258, 14.1951, 14.1918, 14.2173, 14.2495, 14.2481, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086,
astar_163B, 1.04899, 1.00637, 2.04372, 2.07178, 2.08834, 2.09092, 2.09138, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899,
astar_23B, 2.34687, 2.47195, 2.74636, 2.69985, 2.89472, 2.98432, 3.0514, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831,
astar_313B, 40.2296, 41.6347, 42.8221, 43.3315, 42.6588, 42.2991, 42.8186, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685,
bwaves_1609B, 22.7676, 22.7674, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795,
bwaves_1861B, 23.1781, 23.1784, 23.8039, 23.7671, 23.8158, 23.8159, 23.8162, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039,
bwaves_98B, 0.44515, 0.44537, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006,
bzip2_183B, 1.50236, 1.48723, 1.46662, 1.45381, 1.47544, 1.49236, 1.56329, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971,
bzip2_259B, 3.02356, 2.74037, 2.85094, 2.91862, 2.84648, 2.88441, 2.9159, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489,
bzip2_281B, 2.38, 2.28488, 2.2452, 2.15587, 2.27893, 2.40626, 2.38395, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756,
cactusADM_1039B, 8.95289, 8.95423, 8.22831, 8.24956, 8.23124, 8.23544, 8.23948, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058,
cactusADM_1495B, 8.57671, 8.57878, 7.88297, 7.88133, 7.88339, 7.87603, 7.88774, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791,
cactusADM_734B, 8.93522, 8.9418, 8.17769, 8.28114, 8.24096, 8.23019, 8.22979, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451,
